Model,RMSE,MAE,R2,MAPE
XGBoost,0.3109349976513479,0.170512519742919,0.943553805600931,14.88884619120048
Gradient Boosting,0.3125952801958675,0.19710279586609758,0.9429493909242188,18.465022216277816
Random Forest,0.3250169091630124,0.17523823632832286,0.9383252547364893,14.462705298698733
Lasso,0.3338697017539465,0.233000149765047,0.9349197112968,20.260779557054406
Linear,0.3355977992814547,0.23802084100994714,0.9342442613052709,20.593616288401844
Ridge,0.33562327589385293,0.23801342120830832,0.9342342773479374,20.60344420381949
